recommendation_id,recommend_date,session,rank,stock_name,stock_code,sector,score,recommend_price,latest_price,latest_update_kst,age_days,latest_return_pct,d1_return_pct,d3_return_pct,d5_return_pct,max_observed_return_pct,min_observed_return_pct,status
2026-06-05_AM_7_SK네트웍스,2026-06-05,AM,7,SK네트웍스,,도매,69.0,"11,130","10,900",2026-06-07 02:37:46,2,-2.07%,-2.07%,,,0.00%,-2.07%,tracking_updated
2026-06-05_AM_6_SOL 반도체전공정,2026-06-05,AM,6,SOL 반도체전공정,,반도체,75.0,"26,470","26,470",2026-06-05 03:23:08,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-05_AM_6_라이콤,2026-06-05,AM,6,라이콤,,반도체/전자부품,80.0,"5,500","5,910",2026-06-07 02:37:46,2,7.45%,7.45%,,,7.45%,0.00%,tracking_updated
2026-06-05_AM_6_1Q K반도체TOP2+,2026-06-05,AM,6,1Q K반도체TOP2+,,반도체/전자부품,70.0,"118,300","118,300",2026-06-05 11:49:52,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-05_AM_5_TIGER 2차전지TOP10,2026-06-05,AM,5,TIGER 2차전지TOP10,,AI/소프트웨어,68.0,"12,325","12,325",2026-06-05 03:23:08,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-05_AM_5_KODEX 은행,2026-06-05,AM,5,KODEX 은행,,AI/소프트웨어,77.0,"15,610","15,610",2026-06-05 10:56:48,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-05_AM_5_TIGER LG그룹플러스,2026-06-05,AM,5,TIGER LG그룹플러스,,AI/소프트웨어,86.0,"15,080","15,140",2026-06-07 02:37:46,2,0.40%,0.40%,,,0.40%,0.00%,tracking_updated
2026-06-05_AM_4_샘씨엔에스,2026-06-05,AM,4,샘씨엔에스,,반도체/전자부품,76.0,"13,850","13,850",2026-06-05 03:23:08,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-05_AM_4_TIGER LG그룹플러스,2026-06-05,AM,4,TIGER LG그룹플러스,,AI/소프트웨어,85.0,"14,605","15,140",2026-06-07 02:37:46,2,3.66%,3.66%,,,3.66%,0.00%,tracking_updated
2026-06-05_AM_4_TIGER 은행고배당플러스TOP10,2026-06-05,AM,4,TIGER 은행고배당플러스TOP10,,AI/소프트웨어,81.0,"26,175","26,175",2026-06-05 11:49:52,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-05_AM_3_TIGER LG그룹플러스,2026-06-05,AM,3,TIGER LG그룹플러스,,AI/소프트웨어,85.0,"15,800","15,140",2026-06-07 02:37:46,2,-4.18%,-4.18%,,,0.00%,-7.56%,tracking_updated
2026-06-05_AM_3_TIGER 은행고배당플러스TOP10,2026-06-05,AM,3,TIGER 은행고배당플러스TOP10,,AI/소프트웨어,79.0,"26,075","26,175",2026-06-05 11:49:52,0.0,0.38%,,,,0.38%,0.00%,tracking
2026-06-05_AM_3_KODEX 삼성전자채권혼합,2026-06-05,AM,3,KODEX 삼성전자채권혼합,,AI/소프트웨어,83.0,"18,280","18,280",2026-06-05 11:49:52,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-05_AM_2_RISE AI&로봇,2026-06-05,AM,2,RISE AI&로봇,,AI/소프트웨어,89.0,"16,635","16,635",2026-06-05 03:23:08,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-05_AM_2_KODEX 삼성전자채권혼합,2026-06-05,AM,2,KODEX 삼성전자채권혼합,,AI/소프트웨어,82.0,"18,230","18,280",2026-06-05 11:49:52,0.0,0.27%,,,,0.27%,0.00%,tracking
2026-06-05_AM_2_KODEX 200타겟위클리커버드콜,2026-06-05,AM,2,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,83.0,"26,245","25,795",2026-06-07 02:37:46,2,-1.71%,-1.71%,,,0.00%,-1.71%,tracking_updated
2026-06-05_AM_15_SK네트웍스,2026-06-05,AM,15,SK네트웍스,,도매,52.0,"13,010","10,900",2026-06-07 02:37:46,2,-16.22%,-16.22%,,,0.00%,-16.22%,tracking_updated
2026-06-05_AM_15_LG디스플레이,2026-06-05,AM,15,LG디스플레이,,반도체/전자부품,59.0,"14,850","15,390",2026-06-05 11:49:52,0.0,3.64%,,,,3.64%,0.00%,tracking
2026-06-05_AM_15_SOL AI반도체소부장,2026-06-05,AM,15,SOL AI반도체소부장,,반도체,50.0,"30,240","29,440",2026-06-07 02:37:46,2,-2.65%,-2.65%,,,0.00%,-2.65%,tracking_updated
2026-06-05_AM_14_원텍,2026-06-05,AM,14,원텍,,의료기기/정밀기기,71.0,"8,490","8,490",2026-06-05 03:23:08,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-05_AM_14_TIGER 미국S&P500,2026-06-05,AM,14,TIGER 미국S&P500,,AI/소프트웨어,54.0,"28,940","28,845",2026-06-07 02:37:46,2,-0.33%,-0.33%,,,0.16%,-0.33%,tracking_updated
2026-06-05_AM_14_LG디스플레이,2026-06-05,AM,14,LG디스플레이,,반도체/전자부품,59.0,"15,390","15,390",2026-06-05 11:49:52,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-05_AM_13_TIGER 배당커버드콜액티브,2026-06-05,AM,13,TIGER 배당커버드콜액티브,,AI/소프트웨어,57.0,"26,950","25,540",2026-06-07 02:37:46,2,-5.23%,-5.23%,,,0.00%,-6.60%,tracking_updated
2026-06-05_AM_13_KODEX 미국S&P500,2026-06-05,AM,13,KODEX 미국S&P500,,AI/소프트웨어,54.0,"26,377","26,280",2026-06-07 02:37:46,2,-0.37%,-0.37%,,,0.18%,-0.37%,tracking_updated
2026-06-05_AM_13_TIGER 미국S&P500,2026-06-05,AM,13,TIGER 미국S&P500,,AI/소프트웨어,54.0,"28,985","28,845",2026-06-07 02:37:46,2,-0.48%,-0.48%,,,0.00%,-0.48%,tracking_updated
2026-06-05_AM_12_TIGER 미국S&P500,2026-06-05,AM,12,TIGER 미국S&P500,,AI/소프트웨어,57.0,"28,600","28,845",2026-06-07 02:37:46,2,0.86%,0.86%,,,1.35%,0.00%,tracking_updated
2026-06-05_AM_12_RISE 200위클리커버드콜,2026-06-05,AM,12,RISE 200위클리커버드콜,,AI/소프트웨어,55.0,"15,255","15,255",2026-06-05 10:56:48,0.0,0.00%,,,,0.00%,0.00%,tracking
