recommendation_id,recommend_date,session,rank,stock_name,stock_code,sector,score,recommend_price,latest_price,latest_update_kst,age_days,latest_return_pct,d1_return_pct,d3_return_pct,d5_return_pct,max_observed_return_pct,min_observed_return_pct,status,signal_id,snapshot_date,snapshot_time,recommendation_model,recommendation_model_name,entry_model,entry_price,source,observed_count,latest_observed_price,latest_observed_at,max_observed_price,min_observed_price,max_return_pct,min_return_pct,days_elapsed,note
2026-06-05_AM_11_KODEX 200타겟위클리커버드콜,2026-06-05,AM,11,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,59.0,"27,310","23,595",2026-06-08 19:33:30,3.0,-13.60%,-5.55%,-13.26%,,0.00%,-13.60%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_12_TIGER 미국S&P500,2026-06-05,AM,12,TIGER 미국S&P500,,AI/소프트웨어,57.0,"28,600","28,170",2026-06-08 19:33:30,3.0,-1.50%,0.86%,-0.75%,,1.35%,-1.50%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_13_TIGER 배당커버드콜액티브,2026-06-05,AM,13,TIGER 배당커버드콜액티브,,AI/소프트웨어,57.0,"26,950","23,315",2026-06-08 19:33:30,3.0,-13.49%,-5.23%,-12.54%,,0.00%,-13.49%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_14_원텍,2026-06-05,AM,14,원텍,,의료기기/정밀기기,71.0,"8,490","8,490",2026-06-05 03:23:08,0.0,0.00%,,,,0.00%,0.00%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_15_SK네트웍스,2026-06-05,AM,15,SK네트웍스,,도매,52.0,"13,010","14,170",2026-06-08 19:33:30,3.0,8.92%,-16.22%,0.31%,,8.92%,-16.22%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_1_ACE 미국우주테크액티브,2026-06-05,AM,1,ACE 미국우주테크액티브,,금융,97.0,"25,500","24,800",2026-06-08 12:15:17,3.0,-2.75%,1.76%,-2.55%,,1.76%,-2.75%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_2_KODEX 삼성전자채권혼합,2026-06-05,AM,2,KODEX 삼성전자채권혼합,,AI/소프트웨어,82.0,"18,230","17,650",2026-06-08 10:59:29,3.0,-3.18%,-3.18%,-3.18%,,0.27%,-3.18%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_3_TIGER 은행고배당플러스TOP10,2026-06-05,AM,3,TIGER 은행고배당플러스TOP10,,AI/소프트웨어,79.0,"26,075","26,175",2026-06-05 11:49:52,0.0,0.38%,,,,0.38%,0.00%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_4_TIGER LG그룹플러스,2026-06-05,AM,4,TIGER LG그룹플러스,,AI/소프트웨어,85.0,"14,605","15,140",2026-06-07 04:37:24,2.0,3.66%,3.66%,,,3.66%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_5_KODEX 은행,2026-06-05,AM,5,KODEX 은행,,AI/소프트웨어,77.0,"15,610","14,595",2026-06-08 12:15:17,3.0,-6.50%,-6.50%,-6.50%,,0.00%,-6.50%,tracking_updated,,,,,,,,,,,,,,,,,
