recommendation_id,recommend_date,session,rank,stock_name,stock_code,sector,score,recommend_price,latest_price,latest_update_kst,age_days,latest_return_pct,d1_return_pct,d3_return_pct,d5_return_pct,max_observed_return_pct,min_observed_return_pct,status,signal_id,snapshot_date,snapshot_time,recommendation_model,recommendation_model_name,entry_model,entry_price,source,observed_count,latest_observed_price,latest_observed_at,max_observed_price,min_observed_price,max_return_pct,min_return_pct,days_elapsed,note
2026-06-05_AM_1_컴퍼니케이,2026-06-05,AM,1,컴퍼니케이,,금융,99.0,"9,530","9,530",2026-06-05 03:23:08,0.0,0.00%,,,,0.00%,0.00%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_2_RISE AI&로봇,2026-06-05,AM,2,RISE AI&로봇,,AI/소프트웨어,89.0,"16,635","16,635",2026-06-05 03:23:08,0.0,0.00%,,,,0.00%,0.00%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_3_TIGER LG그룹플러스,2026-06-05,AM,3,TIGER LG그룹플러스,,AI/소프트웨어,85.0,"15,800","15,140",2026-06-07 04:37:24,2.0,-4.18%,-4.18%,,,0.00%,-7.56%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_4_샘씨엔에스,2026-06-05,AM,4,샘씨엔에스,,반도체/전자부품,76.0,"13,850","14,420",2026-06-12 04:12:51,7.0,4.12%,-2.17%,-2.17%,-2.09%,4.12%,-2.17%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_5_TIGER 2차전지TOP10,2026-06-05,AM,5,TIGER 2차전지TOP10,,AI/소프트웨어,68.0,"12,325","12,325",2026-06-05 03:23:08,0.0,0.00%,,,,0.00%,0.00%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_6_SOL 반도체전공정,2026-06-05,AM,6,SOL 반도체전공정,,반도체,75.0,"26,470","27,735",2026-06-12 04:12:51,7.0,4.78%,-7.56%,-7.56%,-7.56%,4.78%,-7.56%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_7_KODEX 2차전지산업,2026-06-05,AM,7,KODEX 2차전지산업,,AI/소프트웨어,67.0,"18,830","18,830",2026-06-05 03:23:08,0.0,0.00%,,,,0.00%,0.00%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_8_LG헬로비전,2026-06-05,AM,8,LG헬로비전,,미디어/콘텐츠,78.0,"2,740","2,365",2026-06-10 02:57:04,5.0,-13.69%,-7.85%,-14.05%,-13.69%,0.00%,-14.05%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_9_LG디스플레이,2026-06-05,AM,9,LG디스플레이,,반도체/전자부품,69.0,"16,120","14,480",2026-06-08 12:15:17,3.0,-10.17%,-10.17%,-10.17%,,0.00%,-10.17%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_10_KODEX 미국S&P500,2026-06-05,AM,10,KODEX 미국S&P500,,AI/소프트웨어,59.0,"26,065","25,245",2026-06-12 04:12:51,7.0,-3.15%,0.82%,-0.77%,-2.51%,1.38%,-3.15%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_11_KODEX 200타겟위클리커버드콜,2026-06-05,AM,11,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,59.0,"27,310","24,550",2026-06-12 04:12:51,7.0,-10.11%,-5.55%,-13.26%,-6.55%,0.00%,-13.60%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_12_TIGER 미국S&P500,2026-06-05,AM,12,TIGER 미국S&P500,,AI/소프트웨어,57.0,"28,600","27,695",2026-06-12 04:12:51,7.0,-3.16%,0.86%,-0.75%,-2.53%,1.35%,-3.16%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_13_TIGER 배당커버드콜액티브,2026-06-05,AM,13,TIGER 배당커버드콜액티브,,AI/소프트웨어,57.0,"26,950","24,180",2026-06-11 03:38:05,6.0,-10.28%,-5.23%,-12.54%,-5.77%,0.00%,-13.49%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_14_원텍,2026-06-05,AM,14,원텍,,의료기기/정밀기기,71.0,"8,490","8,490",2026-06-05 03:23:08,0.0,0.00%,,,,0.00%,0.00%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_15_SK네트웍스,2026-06-05,AM,15,SK네트웍스,,도매,52.0,"13,010","12,950",2026-06-11 03:38:05,6.0,-0.46%,-16.22%,0.31%,-0.46%,8.92%,-16.22%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_1_ACE 미국우주테크액티브,2026-06-05,AM,1,ACE 미국우주테크액티브,,금융,97.0,"25,500","27,950",2026-06-12 04:12:51,7.0,9.61%,1.76%,-2.55%,-0.78%,9.61%,-2.75%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_2_KODEX 삼성전자채권혼합,2026-06-05,AM,2,KODEX 삼성전자채권혼합,,AI/소프트웨어,82.0,"18,230","17,650",2026-06-08 10:59:29,3.0,-3.18%,-3.18%,-3.18%,,0.27%,-3.18%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_3_TIGER 은행고배당플러스TOP10,2026-06-05,AM,3,TIGER 은행고배당플러스TOP10,,AI/소프트웨어,79.0,"26,075","26,175",2026-06-05 11:49:52,0.0,0.38%,,,,0.38%,0.00%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_4_TIGER LG그룹플러스,2026-06-05,AM,4,TIGER LG그룹플러스,,AI/소프트웨어,85.0,"14,605","15,140",2026-06-07 04:37:24,2.0,3.66%,3.66%,,,3.66%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_5_KODEX 은행,2026-06-05,AM,5,KODEX 은행,,AI/소프트웨어,77.0,"15,610","15,260",2026-06-09 14:35:19,4.0,-2.24%,-6.50%,-6.50%,,0.00%,-6.50%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_6_라이콤,2026-06-05,AM,6,라이콤,,반도체/전자부품,80.0,"5,500","8,790",2026-06-12 04:12:51,7.0,59.82%,7.45%,34.91%,59.82%,59.82%,0.00%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_7_KODEX 200타겟위클리커버드콜,2026-06-05,AM,7,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,65.0,"25,375","24,550",2026-06-12 04:12:51,7.0,-3.25%,1.66%,-6.64%,0.57%,3.43%,-7.01%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_8_TIGER 배당커버드콜액티브,2026-06-05,AM,8,TIGER 배당커버드콜액티브,,AI/소프트웨어,64.0,"25,170","24,180",2026-06-11 03:38:05,6.0,-3.93%,1.47%,-6.36%,0.89%,3.32%,-7.37%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_9_SK네트웍스,2026-06-05,AM,9,SK네트웍스,,도매,69.0,"11,050","12,950",2026-06-11 03:38:05,6.0,17.19%,-1.36%,18.10%,17.19%,28.24%,-1.36%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_10_진양화학,2026-06-05,AM,10,진양화학,,고무/플라스틱,69.0,"2,380","2,255",2026-06-05 11:49:52,0.0,-5.25%,,,,0.00%,-5.25%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_11_후성,2026-06-05,AM,11,후성,,화학,63.0,"11,510","15,770",2026-06-12 04:12:51,7.0,37.01%,1.04%,16.16%,17.46%,41.09%,0.00%,complete_5d,,,,,,,,,,,,,,,,,
